1500      -0.945       7.157      17.483       8.990       8.166
1501      -0.850       7.435      17.401       8.687       8.163
1502      -1.053       6.872      17.906       9.071       8.194
1503      -2.134       7.210      18.331       8.922       8.077
1504      -1.881       7.254      18.223       9.075       8.163
1505       0.048       7.323      17.341       9.286       8.494
1506       0.064       7.116      17.572       8.958       8.422
1507       0.612       6.229      17.510       9.071       8.350
1508      -2.099       6.818      17.310       9.178       7.797
1509      -1.446       7.323      17.856       9.071       8.196
1510      -0.404       6.985      17.514       8.842       8.229
1511      -2.305       7.210      17.070       9.071       7.756
1512      -2.158       7.142      17.577       9.382       7.981
1513      -1.023       7.043      17.510       8.365       7.969
1514      -2.945       6.910      17.567       8.800       7.578
1515       0.163       6.654      17.031       8.922       8.187
1516       0.184       7.474      18.078       9.390       8.776
1517      -3.520       7.326      17.564       8.842       7.548
1518      -1.148       7.185      17.394       8.763       8.043
1519      -0.507       7.474      17.585       8.963       8.374
1520       0.030       6.552      17.620       8.856       8.259
1521       0.528       7.652      17.744       9.286       8.797
1522      -1.223       7.210      17.567       8.958       8.123
1523       0.020       7.503      17.483       9.070       8.514
1524       0.101       7.097      17.567       9.071       8.454
1525      -1.483       6.663      17.824       9.467       8.113
1526      -1.188       7.500      17.458       9.183       8.233
1527       0.025       6.886      17.310       8.743       8.236
1528      -0.482       7.210      17.451       9.178       8.334
1529      -0.668       7.105      16.814       8.789       8.005
1530       0.934       7.320      17.662       9.243       8.785
1531       0.004       6.537      17.607       9.717       8.461
1532      -0.558       7.431      17.947       9.024       8.456
1533      -1.288       7.323      17.398       9.075       8.122
1534      -2.391       7.551      18.420       9.070       8.157
1535      -1.585       6.818      17.841       9.071       8.031
1536      -2.035       7.459      18.682       9.712       8.449
1537      -1.003       6.936      17.325       9.541       8.195
1538       0.540       6.788      18.019       9.229       8.639
1539      -0.384       7.264      17.748       8.591       8.300
1540      -0.368       8.190      18.678       9.910       9.097
1541      -1.772       7.329      17.283       8.689       7.877
1542      -0.443       6.434      16.657       9.127       7.939
1543      -2.146       6.644      17.295       9.462       7.809
1544      -2.619       6.800      17.401       8.905       7.617
1545      -0.398       7.364      18.101       9.523       8.642
1546      -2.577       6.856      17.724       9.071       7.763
1547      -1.086       7.210      17.684       9.071       8.215
1548      -1.789       7.090      17.907       9.178       8.091
1549      -0.866       8.050      17.725       9.018       8.477
1550      -0.735       6.821      17.441       8.635       8.035
1551      -1.503       7.233      17.735       8.508       7.988
1552       0.387       7.432      17.554       9.228       8.645
1553      -0.312       6.750      17.614       9.678       8.427
1554      -2.738       7.489      17.663       9.075       7.867
1555      -0.717       7.320      16.984       8.908       8.119
1556       0.125       7.635      18.414       8.911       8.766
1557      -2.888       7.021      17.814       9.608       7.884
1558      -0.722       7.770      17.783       9.234       8.511
1559      -1.085       7.412      18.223       9.015       8.386
1560      -0.356       7.306      17.059       8.803       8.198
1561      -3.178       6.896      17.828       9.341       7.717
1562       0.492       7.431      17.607       9.520       8.757
1563      -2.102       6.985      17.160       8.958       7.745
1564      -1.174       7.196      17.585       9.081       8.167
1565      -3.183       6.116      17.788       8.513       7.303
