SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.609299640286293,3.3791383383782594,3.859371135878021,4.522425693092053,0.0
6.020360520794485,3.9336967678137453,4.126393405370698,4.580540569775943,0.0
5.208177456120411,3.7384748776794585,4.435105352497364,4.605217860522766,0.0
4.167621578604822,4.10006330118134,3.697273285991875,4.425679697061251,0.0
6.341006617236336,3.205428564459872,4.091525116415235,4.131798563411313,0.0
6.331239040795773,4.177699440399202,3.9548633076701183,4.565431217138417,0.0
6.029513899061113,3.4752191299608595,4.146423972682387,4.017379007751432,0.0
5.271952361930589,3.663717949127862,4.478683179986154,4.698164394613794,0.0
4.771792861208734,4.162223782463815,4.120629751717224,4.028502884462312,0.0
5.885797937134626,4.3128363092213,4.758534301146643,4.494918782895527,0.0
6.109696490308693,4.917401467316592,4.045102105232739,4.050958234446711,0.0
7.391169383143387,3.502296206115261,4.662194964886177,4.788463225434499,0.0
5.802959351592264,4.298781945939368,4.265742807537423,4.947414385001063,0.0
6.499020818114023,3.2651739080019198,4.651170586825659,4.094344169952176,0.0
5.13808778701861,4.205842396478955,3.9959241905450065,4.142707334882632,0.0
4.954760369768205,3.9359004231218218,4.756387813221357,4.4984726372152375,0.0
6.212708387134272,3.9112796249427233,4.768073004108818,4.708051054915731,0.0
5.96091163490146,4.168818904377766,4.028784156330455,4.6403180154834995,0.0
5.780074152011526,3.611693990802158,3.7818952152640715,4.892610451888584,0.0
4.510916579181311,3.0924986746843,5.170756624843714,4.825288910075945,0.0
5.409998831485405,3.2037311002421602,4.36667121787838,4.444662021782489,0.0
4.156064071722208,3.395389650438069,4.61392700320621,4.306083734586717,0.0
6.338811010030234,2.5893768669861705,4.459515889210888,4.728057187183171,0.0
3.9134394396280356,3.9123081779010818,4.232621531808424,4.8732197069842496,0.0
4.249789362522401,4.492354987517307,4.037899530348845,4.896350443510637,0.0
5.29561022324236,4.114106674690771,4.113090069070933,4.7837561262528165,0.0
5.779776901427222,4.0681017578156835,3.265845741782603,4.015270837457689,0.0
5.34269025166922,3.5800329135544575,3.636262520982042,4.807892658288695,0.0
7.182924905616506,2.7361425579950756,3.984915725544519,4.893985941756196,0.0
4.4930490531852865,4.934195872246315,4.63817432893657,4.526593988821254,0.0
5.090534655905794,3.3578065679077014,5.303694058937236,4.674198459863331,0.0
6.4970448498042845,3.9453033315133736,4.3081996797487685,4.5199441377536775,0.0
